first_name,surname,email.x,role,gender,country,citizenship,affiliation,report,email.y
Adugna,Gemeda,NA,LA,M,Ethiopia,Ethiopia,Ethiopian Public Health Institute,AR6-WG2,NA
Agus Pratama,Sari,NA,LA,M,Indonesia,Indonesia,Landscape Indonesia (formally: PT Bentang Alam Indonesia),AR6-WG3,NA
Aidan,Farrell,NA,LA,M,Trinidad and Tobago,Ireland,"The University of the West Indies, St Augustine Campus",AR6-WG2,NA
Akio,Kitoh,NA,LA,M,Japan,Japan,Japan Meteorological Business Support Center,AR6-WG2,NA
Akm Saiful,Islam,NA,LA,M,Bangladesh,Bangladesh,Bangaldesh University of Engineering and Technology (BUET),AR6-WG1,NA
Alan,Mix,NA,LA,M,USA,USA,Oregon State University,AR6-WG1,NA
Alejandro,Di Luca,NA,LA,M,Australia,Argentina,"Australian Research Council, Climate Change Research Centre, University of New South Wales, Australia",AR6-WG1,NA
Alessandro,Dosio,NA,LA,M,Italy,Italy,European Commission Joint Research Centre,AR6-WG1,NA
Alexander,Gelfan,NA,LA,M,Russia,Russia,Water Problems Institute of Russian Academy of Sciences,AR6-WG2,NA
Alexandre,Magnan,NA,LA,M,France,France,Institute for Sutainable Development and International Relations (IDDRI),AR6-WG2,NA
Alexey V.,Eliseev,NA,LA,M,Russia,Russia,Moscow State University,AR6-WG1,NA
Alisher,Mirzabaev,NA,Lead,M,Germany,Uzbekistan,University of Bonn,AR6-WG2,NA
Amanda,Maycock,NA,LA,F,UK,UK,University of Leeds,AR6-WG1,NA
Ambuj,Sagar,NA,LA,M,India,USA,"Indian Institute of Technology Delhi, Humanities and Social Sciences",AR6-WG3,NA
Amr,Abdel-Aziz,NA,LA,M,Egypt,Egypt,Integral Consult,AR6-WG3,NA
Andrew,Constable,NA,LA,M,Australia,Australia,"Centre for Marine Socioecology, University of Tasmania",AR6-WG2,NA
Andrew,Turner,NA,LA,M,UK,UK,"Department of Meteorology and National Centre for Atmospheric Science, University of Reading",AR6-WG1,NA
Anita,Wreford,NA,LA,F,New Zealand,New Zealand,Lincoln University,AR6-WG2,NA
Anjal,Prakash,NA,Author,M,India,India,"Bharti Institute of Public Policy, Indian School of Business",AR6-WG2,NA
Annalea,Lohila,NA,LA,F,Finland,Finland,Finnish Meteorological Institute,AR6-WG1,NA
Annalisa,Cherchi,NA,LA,F,Italy,Italy,Institute for the Atmospheric Sciences and Climate (ISAC-CNR),AR6-WG1,NA
Annamaria,Lammel,NA,LA,F,France,France,Université Paris 8 Vincennes Saint-Denis,AR6-WG2,NA
Anne Marie,Treguier,NA,LA,F,France,France,CNRS,AR6-WG1,NA
Arnulf,Jäger-Waldau,NA,RE,M,Italy,Germany,"European Commission, Joint Research Centre",AR6-WG3,NA
Arona,Diedhiou,NA,RE,M,Cote d'Ivoire,Senegal,Institut de Recherche pour le Developpement / Université Félix Houphouet Boigny,AR6-WG1,NA
Asgeir,Sorteberg,NA,RE,M,Norway,Norway,University of Bergen,AR6-WG1,NA
Asif,Khan,NA,LA,M,Pakistan,Pakistan,UET Peshawar and LUMS Lahore,AR6-WG1,NA
Astrid,Kiendler-Scharr,NA,LA,F,Germany,Austria,IEK-8: Troposphere Forschungszentrum Jülich GmbH,AR6-WG1,NA
Avelino Gumersindo,Suarez Rodriguez,NA,RE,M,Cuba,Cuba,Research Centre for the World Economy,AR6-WG2,NA
Bart,Van Den Hurk,NA,LA,M,Netherlands,Netherlands,Deltares,AR6-WG1,NA
Baylor,Fox-Kemper,NA,CLA,M,USA,USA,Brown University,AR6-WG1,NA
Ben,Orlove,NA,LA,M,USA,USA,Columbia University,AR6-WG2,NA
Benjamin,Horton,NA,RE,M,Singapore,UK,Nanyang Technological University,AR6-WG1,NA
Benjamin L.,Lamptey,NA,LA,M,Niger,Ghana,African Centre of Meteorological Applications for Development (ACMAD),AR6-WG1,NA
Benjamin L.,Preston,NA,CLA,M,USA,USA,RAND Corporation,AR6-WG2,NA
Bettina,Menne,NA,RE,F,Italy,Germany,World Health Organization,AR6-WG2,NA
Bhupesh,Adhikary,NA,LA,M,Nepal,Nepal,International Centre for Integrated Mountain Development (ICIMOD),AR6-WG1,NA
Birgit,Bednar-Friedl,NA,CLA,F,Austria,Austria,"University of Graz, Wegener Center for Climate and Global Change & Department of Economics",AR6-WG2,NA
Björn,Rost,NA,Author,M,Germany,Germany,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",AR6-WG2,NA
Bjørn H.,Samset,NA,CLA,M,Norway,Norway,CICERO Center for international climate research,AR6-WG1,NA
Blair,Trewin,NA,LA,M,Australia,Australia,Australian Bureau of Meteorology,AR6-WG1,NA
Blanca E.,Jiménez Cisneros,NA,RE,F,Mexico,Mexico,Comision Nacional del Agua,AR6-WG2,NA
Botao,Zhou,NA,LA,M,China,China,Nanjing University of Information Science and Technology,AR6-WG1,NA
Brian,O'neill,NA,CLA,M,USA,USA,Joint Global Change Research Institute,AR6-WG2,NA
Bruce,Glavovic,NA,Lead,M,New Zealand,South Africa,Massey University,AR6-WG2,NA
Bruce,Hewitson,NA,LA,M,South Africa,South Africa,University of Cape Town,AR6-WG1,NA
Carol,Franco Billini,NA,RE,F,USA,Dominican Republic,Virginia Tech,AR6-WG2,NA
Carolina,Adler,NA,LA,F,Switzerland,Chile,Universität Bern Geographisches Institut,AR6-WG2,NA
Carolyn,Enquist,NA,LA,F,USA,USA,"U.S. Geological Survey, Southwest Climate Adaptation Science Center",AR6-WG2,NA
Catherine,Masao,NA,LA,F,Tanzania,Tanzania,"INSTITUTE OF RESOURCE ASSESSMENT, UNIVERSITY OF DAR ES SALAAM",AR6-WG2,NA
Catia M.,Domingues,NA,LA,F,Australia,Australia,"University of Tasmania, Institute for Marine and Antarctic Studies (IMAS) and Antarctic Climate & Ecosystems Cooperative Research Centre (ACE CRC)",AR6-WG1,NA
Cecilia,Conde,NA,LA,F,Mexico,Mexico,Center of Atmosheric Sciences. National Autonomous University of Mexico.,AR6-WG2,NA
Chandni,Singh,NA,LA,F,India,India,Indian Institute for Human Settlements,AR6-WG2,NA
Charles,Koven,NA,LA,M,USA,USA,Lawrence Berkeley National Laboratory,AR6-WG1,NA
Christa,Clapp,NA,LA,F,Norway,USA,CICERO Center for International Climate Research,AR6-WG3,NA
Christian,Huggel,NA,Author,M,Switzerland,Switzerland,University of Zurich,AR6-WG2,NA
Christian,Möllmann,NA,LA,M,Germany,Germany,University of Hamburg,AR6-WG2,NA
Christophe,Cassou,NA,LA,M,France,France,"CECI, Universite de Toulouse, CNRS-Cerfacs",AR6-WG1,NA
Christopher,Lennard,NA,LA,M,South Africa,South Africa,University of Cape Town,AR6-WG2,NA
Claudine,Dereczynski,NA,LA,F,Brazil,Brazil,Federal University of Rio de Janeiro,AR6-WG1,NA
Cristobal Felix,Diaz Morejon,NA,LA,M,Cuba,Cuba,"ENVIRONMENTAL DIRECTORATE, MINISTRY OF SCIENCE, TECHNOLOGY AND THE ENVIRONMENT",AR6-WG3,NA
Cunde,Xiao,NA,CLA,M,China,China,Beijing Normal University,AR6-WG1,NA
Dabang,Jiang,NA,LA,M,China,China,"Institute of Atmospheric Physics, Chinese Academy of Sciences",AR6-WG1,NA
Daniel,Lunt,NA,LA,M,UK,UK,University of Bristol,AR6-WG1,NA
Daniel,Martínez-Castro,NA,LA,M,Cuba,Cuba,Instituto de Meteorología,AR6-WG1,NA
Daniel,Mitchell,NA,RE,M,UK,UK,University of Bristol,AR6-WG1,NA
Daniel,Rosenfeld,NA,LA,M,Israel,Israel,The Hebrew University of Jerusalem,AR6-WG1,NA
Daniel,Ruiz Carrascal,NA,LA,M,USA,Colombia,Columbia University,AR6-WG1,NA
Daniel Ochieng,Olago,NA,LA,M,Kenya,Kenya,"Department of Geology, University of Nairobi",AR6-WG2,NA
Daniela N.,Schmidt,NA,CLA,F,UK,Germany,University of Bristol,AR6-WG2,NA
Daoyi,Gong,NA,LA,M,China,China,Beijing Normal University,AR6-WG1,NA
Darrell,Kaufman,NA,LA,M,USA,USA,Northern Arizona University,AR6-WG1,NA
David,Frame,NA,LA,M,New Zealand,New Zealand,Victoria University of Wellington,AR6-WG1,NA
David,Gutzler,NA,LA,M,USA,USA,University of New Mexico,AR6-WG2,NA
David,Schoeman,NA,CLA,M,Australia,Australia,University of the Sunshine Coast,AR6-WG2,NA
David,Stern,NA,RE,M,Australia,Australia,"Australian National University, Arndt-Corden Division of Economics, Crawford School",AR6-WG3,NA
David,Viner,NA,CLA,M,UK,UK,Green Investment Group,AR6-WG2,NA
David,Wrathall,NA,LA,M,USA,USA,Oregon State University,AR6-WG2,NA
David,Wratt,NA,RE,M,New Zealand,New Zealand,NIWA (National Institute of Water and Atmospheric Research - Emeritus Scientist),AR6-WG2,NA
David J.,Karoly,NA,RE,M,Australia,Australia,"Earth Systems and Climate Change in the Australian Government's National Environmental Science Program, based in CSIRO",AR6-WG1,NA
Dawit Yemane,Ghebrehiwet,NA,LA,M,South Africa,Eritrea,"Department of Agriculture, Forestry & Fisheries; branch Fisheries management",AR6-WG2,NA
Debora,Ley,NA,LA,F,Guatemala,Mexico,UN ECLAC,AR6-WG2,NA
Delavane,Diaz,NA,LA,F,USA,USA,Electric Power Research Institute,AR6-WG2,NA
Delphine,Deryng,NA,LA,F,Germany,France,"NewClimate Institute ; IRI THESys, Humboldt-University of Berlin",AR6-WG2,NA
Diana,Liverman,NA,RE,F,USA,USA,University of Arizona,AR6-WG2,NA
Diana,Reckien,NA,CLA,F,Netherlands,Germany,"University of Twente, Faculty of Geo-Information Science and Earth Observation (ITC), Department of Urban and Regional Planning and Geo-Information Management",AR6-WG2,NA
Dieter,Piepenburg,NA,LA,M,Germany,Germany,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",AR6-WG2,NA
Dipak,Dasgupta,NA,LA,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI),AR6-WG3,NA
Donovan,Campbell,NA,LA,M,Jamaica,Jamaica,University of the West Indies (Mona Campus),AR6-WG2,NA
Douglas,Maraun,NA,LA,M,Austria,Germany,"University of Graz, Wegener Center for Climate and Global Change",AR6-WG1,NA
Edmond,Totin,NA,CLA,M,Mali,Benin,"World Vegetable Center, West and Central Africa",AR6-WG2,NA
Edward,Hawkins,NA,LA,M,UK,UK,"National Centre for Atmospheric Science, University of Reading",AR6-WG1,NA
Edward R.,Carr,NA,LA,M,USA,USA,Clark University,AR6-WG2,NA
Edwin Josue,Castellanos Lopez,NA,CLA,M,Guatemala,Guatemala,Inter-American Institute for Global Change Research (IAI),AR6-WG2,NA
El Hdaji Mbaye Madien,Diagne,NA,LA,M,Senegal,Senegal,National Climate Change Committee / Afrique Energy Environnement,AR6-WG3,NA
Elena,Georgopoulou,NA,Author,F,Greece,Greece,National Observatory of Athens,AR6-WG2,NA
Elena,López-Gunn,NA,LA,F,Spain,Spain,"I-Catalist, S.L.",AR6-WG2,NA
Elena,Verdolini,NA,LA,F,Italy,Italy,FEEM - Fondazione Eni Enrico Mattei; CMCC Foundation - Euro-Mediterranean Center on Climate Change,AR6-WG3,NA
Elham,Ali,NA,Lead,F,Egypt,Egypt,University of Suez,AR6-WG2,NA
Elisabeth Anne,Gilmore,NA,LA,F,USA,USA,Carleton University,AR6-WG2,NA
Elizabeth (libby),Jewett,NA,LA,F,USA,USA,NOAA Ocean Acidification Program,AR6-WG2,NA
Emi,Mizuno,NA,RE,F,Austria,Japan,Sustainable Energy for All,AR6-WG3,NA
Emma,Liwenga,NA,CLA,F,Tanzania,Tanzania,INSTITUTE OF RESOURCE ASSESSMENT (IRA) - UNIVERSITY OF DAR ES SALAAM,AR6-WG2,NA
Eric,Chu,NA,LA,M,USA,USA,"University of California, Davis",AR6-WG2,NA
Eric,Zusman,NA,LA,M,Japan,USA,Institute for Global Environmental Strategies,AR6-WG3,NA
Erich,Fischer,NA,LA,M,Switzerland,Switzerland,ETH Zurich,AR6-WG1,NA
Erika,Coppola,NA,LA,F,Italy,Italy,"Earth System Physics Section, The Abdus Salam International Centre for Theoretical Physics (ICTP)",AR6-WG1,NA
Erin,Coughlan De Perez,NA,LA,F,Netherlands,USA,Climate Centre,AR6-WG2,NA
Esther,Badiola,NA,RE,F,Luxembourg,Spain,European Investment Bank,AR6-WG3,NA
Faye Abigail,Cruz,NA,LA,F,Philippines,Philippines,Manila Observatory,AR6-WG1,NA
Fei,Teng,NA,LA,M,China,China,Tsinghua University,AR6-WG3,NA
Fernando,Farias,NA,LA,M,Chile,Chile,Ministry of Environment of Chile,AR6-WG3,NA
Francis,Chiew,NA,LA,M,Australia,Australia,"Commonwealth Scientific and Industrial Research Organisation (CSIRO), Australia",AR6-WG2,NA
