age,gender,gender_other,country_residence,country_work,nature_work,agree_ipcc,noagree_ipcc,complicated_ipcc,cbi_personal,cbi_work,dass_depression,dass_anxiety,dass_stress,dass_total,hopeful_future_rating,worried_future,response_id,time
33,Female,,Australia,Australia,"Research Fellow, oceanography and climate science",1,,,62.5,42.857142857142854,5,1,5,11,83,84,CB3Yh4QMSH,1
51,Male,,Australia,,Atmospheric scientist,1,,,41.666666666666664,32.142857142857146,7,1,5,13,34,19,Vq2uqNJYff,1
43,Female,,Australia,,Senior lecturer- climate science,1,,,33.333333333333336,42.857142857142854,1,0,1,2,26,71,EvmPRjyLMH,1
52,Male,,Australia,,Climate Science,3,,"IPCC have never said climate change is a ""grave threat"" so I can neither agree nor disagree. If you frame the question ""Are humans causing global warming that will likely accellerate in the future"" which is basically what the IPCC say, then yes, I certainly agree with that",20.833333333333332,25,0,0,4,4,20,86,6UTAb7eO6t,1
38,Male,,Australia,Australia,Research Fellow - climate variability and climate extremes,1,,,29.166666666666668,21.428571428571427,2,0,6,8,50,51,AYJmMnVq6X,1
28,Female,,Australia,France and Australia,Research Associate - climate extreme events (temperature and precipitation extremes),1,,,25,21.428571428571427,0,0,1,1,40,53,KBBSEmIYWh,1
40,Female,,Australia,Australia,Research Associate - physical oceanographer,1,,,25,17.857142857142858,1,2,6,9,71,55,b9cIXGm7ni,1
39,Male,,Australia,Australia,Tenured academic - climate change processes,1,,,50,50,4,1,9,14,46,69,snYZXU7rAY,1
60,Male,,USA,,"Senior Research Scientist - global climate, atmospheric science, global energy systems",1,,,50,25,4,1,4,9,31,73,748Y1dRTB3,1
72,Male,,USA,,Climate scientist,1,,,16.666666666666668,32.142857142857146,0,1,2,3,50,73,lQ99G5Bcj8,1
65,Male,,USA,,Atmospheric Scientist,1,,,25,17.857142857142858,4,1,7,12,37,82,eGjAKKqgjO,1
80,Male,,United States,,climate modeling,1,,,0,17.857142857142858,1,1,0,2,88,69,y308lfHHMg,1
71,Male,,USA,USA,Atmospheric science,1,,,20.833333333333332,7.142857142857143,0,0,0,0,58,70,DzLsqOjVg4,1
28,Male,,Australia,Australia,Science Communication,1,,,54.166666666666664,42.857142857142854,0,2,9,11,50,75,NzIaumAEyO,1
33,Male,,Australia,,Research Fellow - climate scientist.,1,,,66.66666666666667,50,3,1,5,9,19,66,BYnx2Q8Pet,1
69,Male,,UK,,Emeritus Prof - Arctic research,1,,,70.83333333333333,67.85714285714286,9,3,7,19,4,100,9IABFp4QwY,1
35,Male,,Denmark,Greenland,senior researcher - glaciology and climate,1,,,50,35.714285714285715,5,4,8,17,25,73,ePxlQ2y8ri,1
62,Female,,USA,,Professor of Geography - climate and society,1,,,62.5,50,9,1,4,14,44,68,GfwE83JObl,1
56,Male,,UK,UK,social scientist studying climate discourse - previously climate scientist,3,,"Yes, but 'the grave threat to the planet' bit of it needs unpacking; not as simple as this",20.833333333333332,10.714285714285714,0,0,2,2,63,32,FplQK0ASWM,1
54,Male,,USA,USA,"Carbon Cycle scientist, a subset of climate science",1,,,37.5,42.857142857142854,2,0,10,12,35,72,elU9Z9ro61,1
62,Male,,USA,USA,atmospheric scientist studying climate,1,,,37.5,14.285714285714286,1,1,3,5,72,29,W7rHTjA2U6,1
62,Male,,UK,Australia,"Professor, teaching and research on climate science, climate variability and climate change.",1,,,16.666666666666668,25,2,2,6,10,35,59,E0c1YFZauw,1
70,Male,,France,,Paleaclimatology,1,,,33.333333333333336,17.857142857142858,4,2,6,12,38,58,s2ljBdjZgq,1
55,Male,,Netherlands,same,atmospheric scientist,3,,It is occurring. Whether it's a grave threat I cannot judge.,16.666666666666668,25,0,0,2,2,71,40,fwDIDrhn9W,1
58,Male,,Australia,,Climate scientist,1,,,16.666666666666668,25,2,0,1,3,50,79,NmtHLH6ECS,1
48,Male,,Unied Kingdom,,"Professor, physical oceanography",1,,,37.5,28.571428571428573,0,0,3,3,69,56,L7s3m4qIyD,1
54,Male,,UK,UK,oceanographer,3,,Climate change is a serious threat. Anthripogenic contribution is part of it and a safe working hypothesis but not exclusively responsible.,54.166666666666664,60.714285714285715,5,0,6,11,34,62,71SZw00Krp,1
63,Male,,USA,USA,Climate scientist,1,,,16.666666666666668,10.714285714285714,0,0,2,2,95,24,JZLIux8lDO,1
74,Male,,USA,,"Now, officially retired from atmospheric scientist/climate modeling program leader career lasting 34 years, but now still active after nearly 15 years  affiliated with a small NGO, engaged on essentially full-time basis promoting scientific understanding and positive steps that can be taken to deal with climate change.",3,,I actually think that the IPCC is too cautious in its statements about the risks and pace of change,33.333333333333336,42.857142857142854,4,1,5,10,58,74,jGOWWNLmiR,1
44,Female,,UK,"Europe wide, Australia",Professor - climate governance/politics,1,,,33.333333333333336,21.428571428571427,1,1,4,6,79,62,i3jCFaqLO9,1
58,Male,,USA,,Faculty in atmospheric science - trends in observed precipitation,3,,I think the IPCC has oversimplified the conclusions which makes them vulnerable,20.833333333333332,14.285714285714286,0,0,1,1,65,61,sjY1Wwwm8q,1
65,Male,,AUSTRALIA,,"Research Scientist - Oceanography, ocean heat content, sea level",1,,,20.833333333333332,10.714285714285714,1,0,4,5,67,74,vgH1N1qawI,1
49,Male,,U.K.,U.K.,Professor Physical Climate Change,1,,,41.666666666666664,50,3,1,7,11,74,31,QlUTvQ3opj,1
48,Male,,UK,UK,"Physical climate change, modelling",1,,,12.5,10.714285714285714,1,0,2,3,88,10,2M13iV0Hmr,1
50,Male,,United States,United States,Manager/principal investigator climate modeling,1,,,29.166666666666668,25,1,1,1,3,63,50,cOpZORmvkm,1
68,Male,,Usa,,Ecosystem science,1,,,50,50,2,0,4,6,19,77,bBu5O4oqq3,1
43,Male,,UK,,Climate Scientist,1,,,54.166666666666664,67.85714285714286,10,4,14,28,39,75,aRB3T0MOwK,1
49,Male,,Norway,Norway,Climate analysis and downscaling climate information for study of local consequences to climate change and variability,1,,,20.833333333333332,35.714285714285715,5,1,8,14,53,59,3evbvMMSNg,1
42,Male,,USA,USA,Professor and Chair - Climate Science,1,,,29.166666666666668,25,2,1,9,12,64,66,ZGJ6fhkIRh,1
49,Male,,United States,,"associate professor of marine science -- I teach graduate students and conduct research on ocean dynamics, climate change, and sea level rise",3,,"This is a poorly worded question, as there are two distinct questions. Yes, I am in agreement that anthropogenic-caused climate change is occuring. I do have to quible a little about the second question (is it a grave trhreat to the planet). That's a lot more nuanced and harder to answer with a simple yes and no. The planet will survive no matter what we do. Climate change is a grave threat to human society. Unless we change or start planning to adapt, I am not certain that human society will be better a few hundred years from now.",25,10.714285714285714,2,4,2,8,51,57,BJXz8yap6d,1
52,Male,,Canada,,Research Scientist - ocean biogeochemistry and climate,3,,"""a grave threat to the planet"" sounds like the rhetoric of environmental activists, and I strongly doubt that any of the IPCC assessment reports use such terms. Nonetheless, I agree that anthropogenic climate change poses serious threats to ecosystems and to human civilization.",29.166666666666668,25,2,3,8,13,76,93,AdiWUsdi8c,1
49,Male,,New Zealand,,Atmospheric scientist,1,,,62.5,64.28571428571429,5,1,11,17,35,59,YpRecDRr3p,1
63,Male,,USA,USA,Climate modeling,1,,,12.5,7.142857142857143,0,0,1,1,97,15,u1G6xI6mDE,1
63,Male,,Switzerland,Switzerland,"Professor, Climate Physicist",1,,,12.5,3.5714285714285716,0,1,4,5,72,72,PMzS4uFIpM,1
65,Male,,United States,,"Atmospheric scientist at the Lawrence Livermore National Laboratory in Livermore, California (just a few months away from retirement). I compare output from climate models with observations. See www-pcmdi.llnl.gov for details.",3,,"It's occurring, and potentially a grave threat, but time will tell how bad it gets.",29.166666666666668,21.428571428571427,3,3,5,11,54,45,hQm5R1XV81,1
71,Male,,Canada,,"Retired but still working on the effects of climate change on the marine planktonic ecosystem, primarily through modelling.",1,,,16.666666666666668,25,1,0,4,5,50,71,Mh2Pu2KIVI,1
66,Male,,United States,United States,"Working-stiff climate scientist, building global climate datasets from satellite and in situ measurements from scratch to answer climate questions",2,,,12.5,14.285714285714286,1,0,2,3,91,7,vhD2tEmZBn,1
64,Male,,Brazil,Brazil,Atmospheric Scientist,1,,,16.666666666666668,14.285714285714286,0,1,5,6,92,87,WVXdRjtpAY,1
52,Male,,United States,,Climate scientist; climate feedbacks and climate sensitivity,1,,,41.666666666666664,32.142857142857146,0,0,1,1,52,72,U2UEVIEgy1,1
60,Male,,United State,Same as above,Professor - climate dynamics,1,,,20.833333333333332,17.857142857142858,0,0,0,0,65,66,mHR6ovc0Mh,1
