"Filter 1","StartDate","EndDate","Duration__in_seconds_","Finished","LocationLatitude","LocationLongitude","Poor_data","Quote_consent","Age","Gender","Gender_other","Country_residence","Country_work","Nature_work","Years_working","Highest_ed","Highest_ed_other","Agree_IPCC","Noagree_IPCC","Complicated_IPCC","Warr_calm","Warr_cheerful","Warr_contented","Warr_depressed","Warr_enthusiastic","Warr_gloomy","Warr_miserable","Warr_optimistic","Warr_relaxed","Warr_tense","Warr_uneasy","Warr_worried","Warr_calmR","Warr_cheerfulR","Warr_contentedR","Warr_depressedR","Warr_depressedRR","Warr_enthusiasticR","Warr_gloomyR","Warr_gloomyRR","Warr_miserableR","Warr_miserableRR","Warr_optimisticR","Warr_relaxedR","Warr_tenseR","Warr_tenseRR","Warr_uneasyR","Warr_uneasyRR","Warr_worriedR","Warr_worriedRR","Warr_anxiety_contentment","Warr_depression_enthusiasm","CBI_P_1","CBI_P_2","CBI_P_3","CBI_P_4","CBI_P_5","CBI_P_6","CBI_P_1R","CBI_P_2R","CBI_P_3R","CBI_P_4R","CBI_P_5R","CBI_P_6R","CBI_personal","CBI_W_1","CBI_W_2","CBI_W_3","CBI_W_4","CBI_W_5","CBI_W_6","CBI_W_7","CBI_W_7R","CBI_W_1R","CBI_W_2R","CBI_W_3R","CBI_W_4R","CBI_W_5R","CBI_W_6R","CBI_W_7RR","CBI_work","CBI_C_1","CBI_C_2","CBI_C_3","CBI_C_4","CBI_C_5","CBI_C_6","DASS_1","DASS_2","DASS_3","DASS_4","DASS_5","DASS_6","DASS_7","DASS_8","DASS_9","DASS_10","DASS_11","DASS_12","DASS_13","DASS_14","DASS_15","DASS_16","DASS_17","DASS_18","DASS_19","DASS_20","DASS_21","DASS_1R","DASS_2R","DASS_3R","DASS_4R","DASS_5R","DASS_6R","DASS_7R","DASS_8R","DASS_9R","DASS_10R","DASS_11R","DASS_12R","DASS_13R","DASS_14R","DASS_15R","DASS_16R","DASS_17R","DASS_18R","DASS_19R","DASS_20R","DASS_21R","DASS_Depression","DASS_Anxiety","DASS_Stress","DASS_total","Hopeful_future_rating","Why_hopeful","Worried_future","Why_worried","Affected_by_CC","Work_affect_wellbeing","Coping_strategies","Attacks_on_work","Anything_else","Q28","Contact_future"
1,17240,17240,813.0,1,"-33.920196533203","151.22241210938",,1,33.0,2,,"Australia","Australia","Research Fellow, oceanography and climate science",10.0,1,,1,,,3,4,4,5,3,5,6,5,4,5,5,4,4,3,3,2,5,4,2,5,1,6,2,3,2,5,2,5,3,4,24.0,25.0,1,1,3,4,2,4,100,100,50,25,75,25,62.5,4,4,3,1,4,4,3,3,25,25,50,100,25,25,50,42.857142857142854,,,,,,,4,4,4,4,2,3,4,4,3,3,4,3,4,3,4,3,3,2,4,4,4,0,0,0,0,2,1,0,0,1,1,0,1,0,1,0,1,1,2,0,0,0,5,1,5,11,83.0,"I have to feel hopeful, otherwise I would not be able to do my job.",84.0,"In Australia are lucky, we are wealthy enough to cope with a lot of the effects of climate change, at least in the short term. I worry about how climate change will destabilise a lot of the world, and how future generations will be left to deal with that.","I can't ignore that it is happening, or tell myself that the science isn't settled. Often, in social exchanges, people ask me if climate change is really real, and if they should be worried about it. It's always a conversation killer when I say yes.",49.0,"Actually my personal life is way more tiring at the moment than my work life (I have a young child who doesn't sleep much). So sometimes the nice quiet office is relaxing.","Not yet, thank goodness. I do not do any media or outreach, so I am not really visible in public.",,4,1
1,17240,17240,1019.0,1,"-33.766693115234","150.91668701172",,1,51.0,1,,"Australia",,"Atmospheric scientist",25.0,1,,1,,,6,5,3,3,4,4,5,5,6,3,3,2,1,2,4,4,3,3,3,4,2,5,2,1,4,3,4,3,5,2,14.0,19.0,3,2,4,5,2,4,50,75,25,0,75,25,41.666666666666664,4,4,4,1,5,5,3,3,25,25,25,100,0,0,50,32.142857142857146,,,,,,,3,4,3,4,3,3,4,4,4,3,4,3,3,2,4,3,3,4,4,3,3,1,0,1,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,0,1,1,7,1,5,13,34.0,"Society seems to be on auto-pilot and heading toward self-induced calamity, even though many people get this and are trying to help.  If I focus on the latter I feel better but overall I am not that optimistic.",19.0,"Most worrisome thing is ignorance and how this leads people to blame the wrong people or things, and embrace solutions that will only make things worse.  And how manipulable people are.  Also that societies may be turning away from and demonizing those who could help them.","It is not the best thing to be thinking about, but I think there are some people who know less about the problem but are more scared of it than they should be, so it could be worse!",48.0,"I work as a scientist which I think is a great job, though also very stressful.  Most of the stresses behind my answers in your survey have much more to do with the stresses of the job rather than worrying about the future (though that is there too), and would probably be the same for scientists working in any other field.  A coping strategy is to avoid reading the news too much and to focus on good-news stories (of which there are many), even though I know this is ""cherry picking"" in a way.","I have learned to ignore these, because they are not representative of most people's values or attitudes, and the attackers do not deserve any attention from me or anyone else.",,5,2
1,17240,17240,527.0,1,"-33.912094116211","151.2587890625",,1,43.0,2,,"Australia",,"Senior lecturer- climate science",12.0,1,,1,,,4,3,3,5,2,5,5,2,3,5,5,5,3,4,4,2,5,5,2,5,2,5,5,4,2,5,2,5,2,5,26.0,29.0,3,4,4,4,3,4,50,25,25,25,50,25,33.333333333333336,3,4,3,2,4,4,3,3,50,25,50,75,25,25,50,42.857142857142854,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,26.0,"
What makes me feel hopeful- all the amazing scientists working in the climate science field that I get to work with day to day. The quality of the science they do is second to none. Australia's climate science field is outstanding and is producing an amazing group of early career researchers that will continue this work into the future. 
What makes me feel not hopeful- regardless of all the evidence coming from the scientists there is a lack of action from government. A lack of respect for the science and ",71.0,"We are in trouble. 
If we don't take actions, both nationally and globally, to curb greenhouse gas emissions we are looking at a very difficult future, one that I don't think we are at all prepared for.",,21.0,,"Frustration.",,4,1
1,17240,17240,800.0,1,"-33.701599121094","151.27969360352",,1,52.0,1,,"Australia",,"Climate Science",28.0,1,,3,,"IPCC have never said climate change is a ""grave threat"" so I can neither agree nor disagree. If you frame the question ""Are humans causing global warming that will likely accellerate in the future"" which is basically what the IPCC say, then yes, I certainly agree with that",4,3,1,6,2,6,6,5,5,5,5,4,3,4,6,1,6,5,1,6,1,6,2,2,2,5,2,5,3,4,25.0,29.0,3,4,4,5,4,5,50,25,25,0,25,0,20.833333333333332,4,3,5,2,5,5,2,4,25,50,0,75,0,0,25,25.0,3,4,4,2,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,20.0,"I think the probability that we will solve the emissions problem in time is very low, and I know that we have underestimated the capacity for the climate system to be expressed negatively in terms of extremes. 

I do not think I have much hope. But I manage to place that neatly in a part of my conciousness and rarely go there. 

The only thing that gives me hope is that there are some very smart students around with genuine commitment. Maybe they will be able to drive change in a way my parents and my gener",86.0,"See preivous answer.","Not at all really. 

What I know does not really affect how I feel. Its like a doctor who deals with dying patients. If they let each death
profoundly affect them, they could not do their jobs and they might miss that patient that might be cured.",83.0,"I feel very positive about my work. It affects my well being positively because I am excited about the next discovery a student will make, the next job a student will get etc","Sure - find a climate scientist who has not been threatened and I will show you one that is not effective in communicating their science. 

It affects be positively. If I am attacked, I choose to interpret it as becasue I am a threat to those who try to stop the changes needed to avoid dangerous climate change. I interpret it as I am doing a good job.","This is all very negative. Should you not be asked opposite questions like ""My work left me with a sense of achievement"" or whatever?",4,1
1,17241,17241,826.0,1,"-33.949996948242","151.23330688477",,1,38.0,1,,"Australia","Australia","Research Fellow - climate variability and climate extremes",10.0,1,,1,,,4,4,5,5,2,5,6,4,6,5,3,4,3,3,2,2,5,5,2,5,1,6,3,1,2,5,4,3,3,4,18.0,27.0,4,3,4,5,4,3,25,50,25,0,25,50,29.166666666666668,4,3,5,4,5,5,3,3,25,50,0,25,0,0,50,21.428571428571427,,,,,,,2,4,4,4,3,3,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,6,8,50.0,"It is hard to imagine currently that all the different interest groups in the world will come together to solve the global problem. There will always be at least one or two parties counteracting a global solution and agreement, because of self-interest.

But I also hope that there is enough sanity to solve this issue",51.0,,,37.0,,,,5,2
1,17241,17241,620.0,1,"-33.920501708984","151.25518798828",,1,28.0,2,,"Australia","France and Australia","Research Associate - climate extreme events (temperature and precipitation extremes)",5.0,1,,1,,,2,2,2,5,3,5,6,5,3,4,5,3,5,5,5,2,5,4,2,5,1,6,2,4,3,4,2,5,4,3,26.0,27.0,3,3,5,5,3,5,50,50,0,0,50,0,25.0,5,4,5,3,4,4,2,4,0,25,0,50,25,25,25,21.428571428571427,,,,,,,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40.0,,53.0,,,30.0,,,,5,2
1,17242,17242,955.0,1,"-33.949996948242","151.23330688477",,1,40.0,2,,"Australia","Australia","Research Associate - physical oceanographer",16.0,1,,1,,,4,3,2,5,3,4,6,4,5,4,3,4,3,4,5,2,5,4,3,4,1,6,3,2,3,4,4,3,3,4,21.0,26.0,4,5,3,4,3,5,25,0,50,25,50,0,25.0,4,3,5,4,5,5,2,4,25,50,0,25,0,0,25,17.857142857142858,3,3,2,2,2,3,3,4,4,4,3,3,4,3,3,4,3,3,4,4,4,4,4,3,3,4,4,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,2,6,9,71.0,"Despite in slow pace, we are walking toward the right direction to change energy sources and related economy.",55.0,"I'm worried about wars and what world are we leaving for my kids.","Not much affected. People are sometimes curious about the type of research I do, other people want to express their ""disbelief"" in climate change. It doesn't affect me. There are always people who understand science more than others, and we face similar problems as other areas, e.g. immunisation.",12.0,"Yoga","Not really.",,5,2
1,17244,17244,825.0,1,"-33.903198242188","151.15179443359",,1,39.0,1,,"Australia","Australia","Tenured academic - climate change processes",15.0,1,,1,,,5,4,4,4,4,5,6,5,4,3,3,3,2,3,3,3,4,3,2,5,1,6,2,3,4,3,4,3,4,3,17.0,23.0,3,4,2,4,2,3,50,25,75,25,75,50,50.0,3,2,4,2,3,4,3,3,50,75,25,75,50,25,50,50.0,,,,,,,2,4,2,4,3,3,4,3,3,4,3,2,4,3,4,3,4,3,4,4,4,2,0,2,0,1,1,0,1,1,0,1,2,0,1,0,1,0,1,0,0,0,4,1,9,14,46.0,"The lack of likelihood that people are able to coordinate and execute an effective GHG emissions reduction solution globally.",69.0,"As above","I'm increasingly cynical and worn out, lower emotional energy reserves.",61.0,"Meditation. Long holidays.","Not too much to date thankfully - I've tried to stay out of the limelight, but many colleagues have.",,5,2
1,17247,17247,670.0,1,"37.41780090332","-122.17199707031",,1,60.0,1,,"USA",,"Senior Research Scientist - global climate, atmospheric science, global energy systems",30.0,1,,1,,,2,2,2,6,2,6,6,3,2,6,6,6,5,5,5,1,6,5,1,6,1,6,4,5,1,6,1,6,1,6,33.0,32.0,3,3,2,5,2,3,50,50,75,0,75,50,50.0,4,4,3,3,5,5,2,4,25,25,50,50,0,0,25,25.0,,,,,,,4,4,4,4,3,3,4,4,4,4,2,4,4,4,4,3,4,3,3,4,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,2,4,1,4,9,31.0,"Poverty has been going down, education and global health has been going up, so there is much room for optimism as well.",73.0,"We have evolved as hunter gatherers, but have created a technological world to which we are no longer adapted. As a result, we do not have the emotional capacity to address century-scale global problems.

","Climate change has made me realize that humans do not have the emotional capacity to deal with this problem. We respond more strongly to a meowing cat in our presence than 100,000 people dying of starvation on the other side of the planet. We just don't have the emotional capacity to address very real things  outside of our sensory field which seem to us to be abstract.",93.0,"My work affects my well-being very much and very positively, because I get to do work that I love and find meaningful. You seem to be implying that my work would require me to have coping strategies, but I consider my work to be a blessing.","I have been attacked many times. That is the cost of being a (semi-)public figure. I spend less time paying attention to idiots. Increasingly, I try to ignore idiots rather than respond to them.","The premise of this survey seems to be that studying climate change has an adverse on our personal psychology. I find the opposite. Meaningful work that you enjoy is the key to happiness.",4,1
1,17252,17252,1427.0,1,"40.745803833008","-74.032096862793",,1,72.0,1,,"USA",,"Climate scientist",45.0,1,,1,,,4,5,5,4,4,5,6,5,5,5,5,4,3,2,2,3,4,3,2,5,1,6,2,2,2,5,2,5,3,4,21.0,22.0,5,4,4,5,4,4,0,25,25,0,25,25,16.666666666666668,3,3,3,4,4,5,2,4,50,50,50,25,25,0,25,32.142857142857146,,,,,,,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,3,50.0,"We could make progress if everything came together.  But we are far from that.  There are too many people, many very selfish and self centered, ""America First"" types, who have no concept of government and how we govern an entire planet.  Some people are lucky and fell into wealth, but have no idea how to manage anything.  Too many are in places of influence.  Value systems are corrupt in too many people even as the religiously go to church and proclaim otherwise.   Social media is a major step backwards: ev",73.0,"Too many people, living unsustainably with no solutions in sight.  We can't even talk about population control.  We develop more and more ways to extend life, without ever dealing with the ending of life.  We take actions to save lives continually and it really makes the problem worse.  We can't even agree in one country, let alone across countries.  The Paris agreement was an amazing step, but it was weak and unenforceable.","I reach out.  I try to educate.  I try to separate out the science from the ethical issues and rationalize discussions.",68.0,"I work out.  It relieves stress.  I play golf.","Yes, many.  I have written about these.  I have tried harder to reach out and educate, but there are factions that are unreachable.",,4,1
